year,state_name,graduation_rate
2013,South Dakota,82.7
2014,South Dakota,83.9
2015,South Dakota,83.9
2016,South Dakota,83.7
2017,South Dakota,84.1
2018,South Dakota,84.1
2019,South Dakota,84.2
2010,Tennessee,86.0
2011,Tennessee,87.0
2012,Tennessee,86.3
2013,Tennessee,87.2
2014,Tennessee,87.9
2015,Tennessee,88.5
2016,Tennessee,89.8
2017,Tennessee,90.0
2018,Tennessee,90.5
2019,Tennessee,90.4
2010,Texas,86.0
2011,Texas,88.0
2012,Texas,88.0
2013,Texas,88.3
2014,Texas,89.0
2015,Texas,89.1
2016,Texas,89.7
2017,Texas,90.0
2018,Texas,90.0
2010,Utah,76.0
2011,Utah,80.0
2012,Utah,83.0
2013,Utah,83.9
2014,Utah,84.8
2015,Utah,85.2
2016,Utah,86.0
2017,Utah,87.0
2018,Utah,87.4
2019,Utah,88.2
2010,Vermont,87.0
2011,Vermont,88.0
2012,Vermont,86.6
2013,Vermont,87.8
2014,Vermont,87.7
2015,Vermont,87.7
2016,Vermont,89.1
2017,Vermont,85.1
2018,Vermont,84.5
2019,Vermont,83.1
2010,Virginia,82.0
2011,Virginia,83.0
2012,Virginia,84.5
2013,Virginia,85.3
2014,Virginia,85.7
2015,Virginia,86.7
2016,Virginia,86.9
2017,Virginia,87.5
2018,Virginia,87.5
2019,Virginia,88.8
2010,Washington,76.0
2011,Washington,77.0
2012,Washington,76.4
2013,Washington,78.2
2014,Washington,78.2
2015,Washington,79.7
2016,Washington,79.4
2017,Washington,86.7
2018,Washington,81.1
2019,Washington,83.0
2010,West Virginia,78.0
2011,West Virginia,79.0
2012,West Virginia,81.4
2013,West Virginia,84.5
2014,West Virginia,86.5
2015,West Virginia,89.8
2016,West Virginia,89.4
2017,West Virginia,90.2
2018,West Virginia,91.3
2019,West Virginia,92.1
2010,Wisconsin,87.0
2011,Wisconsin,88.0
2012,Wisconsin,88.0
2013,Wisconsin,88.6
2014,Wisconsin,88.4
2015,Wisconsin,88.2
2016,Wisconsin,88.6
2017,Wisconsin,89.7
2018,Wisconsin,90.1
2019,Wisconsin,90.4
2010,Wyoming,80.0
2011,Wyoming,79.0
2012,Wyoming,77.0
2013,Wyoming,78.6
2014,Wyoming,79.3
2015,Wyoming,80.0
2016,Wyoming,86.2
2017,Wyoming,81.7
2018,Wyoming,82.1
2019,Wyoming,82.3
